"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"363","","Tavon Austin","DAL","WR121","8","215","301","264.3","32.0"
"364","","ArDarius Stewart","NYJ","WR122","11","251","278","264.5","13.5"
"365","","Oakland Raiders","","DST28","7","235","299","267.0","32.0"
"366","","J'Mon Moore","GB","WR123","7","269","269","269.0","0.0"
"367","","Nick Foles","PHI","QB39","9","256","283","269.5","13.5"
"368","","Jeff Heuerman","DEN","TE53","10","270","270","270.0","0.0"
"369","","Malcolm Brown","LAR","RB102","12","247","317","270.3","33.0"
"370","","Travaris Cadet","BUF","RB103","11","272","272","272.0","0.0"
"371","","Jakeem Grant","MIA","WR124","11","216","329","272.5","56.5"
"372","","Kalen Ballage","MIA","RB104","11","229","295","273.0","31.1"
"373","","Roger Lewis","NYG","WR125","9","273","273","273.0","0.0"
"374","","Charcandrick West","KC","RB105","12","219","326","274.0","38.1"
"375","","TJ Jones","DET","WR126","6","274","274","274.0","0.0"
"376","","Damien Williams","KC","RB106","12","236","304","274.2","21.8"
"377","","Alfred Blue","HOU","RB107","10","274","275","274.5","0.5"
"378","","Nick O'Leary","BUF","TE54","11","278","278","278.0","0.0"
"379","","Demetrius Harris","KC","TE55","12","279","279","279.0","0.0"
"380","","Laquon Treadwell","MIN","WR127","10","258","333","280.0","27.5"
"381","","Jordan Akins","HOU","TE56","10","284","284","284.0","0.0"
"382","","Virgil Green","LAC","TE57","8","285","285","285.0","0.0"
"383","","Chris Moore","BAL","WR128","10","286","286","286.0","0.0"
"384","","Tre'Quan Smith","NO","WR129","6","271","294","286.3","10.8"
"385","","Kerwynn Williams","KC","RB108","12","252","322","287.0","35.0"
"386","","Eric Tomlinson","NYJ","TE58","11","289","289","289.0","0.0"
"387","","Fozzy Whittaker","CAR","RB109","4","290","290","290.0","0.0"
"388","","Miami Dolphins","","DST29","11","237","346","291.5","54.5"
"389","","Keke Coutee","HOU","WR130","10","292","292","292.0","0.0"
"390","","Antonio Callaway","CLE","WR131","11","293","293","293.0","0.0"
"391","","Chad Williams","ARI","WR132","9","245","343","294.0","49.0"
"392","","Mack Hollins","PHI","WR133","9","283","323","296.3","18.9"
"393","","Tyler Boyd","CIN","WR134","9","265","349","297.0","37.1"
